fips,county,state_abbr,state_name,year,y_diabetes_prevalence_adults_with_diabetes,chr_65_and_older_65_and_over,chr_access_to_exercise_opportunities,chr_adult_obesity,chr_food_environment_index,chr_primary_care_physicians,chr_rural,chr_unemployment,chr_uninsured,centroid_x_m,centroid_y_m
1083,Limestone,AL,Alabama,mean,10.3,15.525916832,43.463358115,34.9,7.5,38,47690,1142,5071.0724861825,818195,1362474
1085,Lowndes,AL,Alabama,mean,17.6,20.321123934,0.9116477548,48.8,4.7,1,11299,330,428.3332182795,868776,1056720
1087,Macon,AL,Alabama,mean,17.1,21.513627944,40.441327053,47.3,5.3,6,11916,477,794.103773585,957302,1096837
1089,Madison,AL,Alabama,mean,10.6,15.501086761,73.530798422,35.3,7.4,330,55048,5104,15483.9586273838,854431,1358872
1091,Marengo,AL,Alabama,mean,14.5,20.320067383,47.570253066,43.5,6,7,14575,325,797.0419409045,768993,1060588
1093,Marion,AL,Alabama,mean,11.5,21.103740682,47.663678811,37.9,7.1,8,27346,379,1402.678930136,730854,1264821
1095,Marshall,AL,Alabama,mean,11.1,17.198762064,52.815227636,39.7,6.7,56,49550,1070,5973.1080857035,883389,1327185
1097,Mobile,AL,Alabama,mean,13,17.026046244,63.904110084,39.4,6.6,292,82682,9039,19843.5073951145,747363,849553
1099,Monroe,AL,Alabama,mean,14.2,21.747760586,41.371636658,43.9,6,8,18234,414,1039.683488613,813194,983940
1101,Montgomery,AL,Alabama,mean,14.6,15.981779329,69.295142256,49,6.5,235,24063,5177,10621.086059112,914709,1068258
1103,Morgan,AL,Alabama,mean,11.4,18.070964194,70.621693229,40.1,7.1,62,46120,1540,7034.8560198465,826386,1313728
1105,Perry,AL,Alabama,mean,19.3,20.562537403,54.964164023,50.9,3.4,3,10591,267,372.17721519,803344,1101025
1107,Pickens,AL,Alabama,mean,14.7,19.472368491,4.0840872248,42.3,6.9,7,19746,307,864.7632231705,725802,1176447
1109,Pike,AL,Alabama,mean,13.3,15.86493286,61.295404284,38.7,6.7,14,17002,513,1588.2295727505,949251,1027004
1111,Randolph,AL,Alabama,mean,11.6,21.256082587,40.975099012,42.8,6.4,5,18638,258,1140.494845361,973095,1195267
1113,Russell,AL,Alabama,mean,14.2,15.137427199,56.095500397,41.9,6.7,12,18748,715,2871.0266307665,1019238,1089099
1115,St. Clair,AL,Alabama,mean,10.3,17.426790874,49.219015839,38.3,7.9,13,60853,1087,4260.7988988225,890552,1233909
1117,Shelby,AL,Alabama,mean,9.2,16.476276102,73.626605208,33.1,8.3,181,44762,2529,8543.1435680179,860454,1180985
1119,Sumter,AL,Alabama,mean,17.6,19.853666557,33.138922641,47.7,5.9,7,13763,203,533.552782559,728861,1095376
1121,Talladega,AL,Alabama,mean,12.8,18.933074923,50.475355756,41.9,6.7,23,45931,1480,3518.791582175,911815,1197955
1123,Tallapoosa,AL,Alabama,mean,12.3,22.765278015,60.259979182,40.3,7.3,19,30890,724,2044.781578597,946739,1133226
1125,Tuscaloosa,AL,Alabama,mean,11.7,14.231279212,74.62032453,41.6,7.2,153,49653,3662,8738.671729733,800370,1178587
1127,Walker,AL,Alabama,mean,11.1,19.837082292,40.197728873,36.4,6.9,28,49656,911,2885.8144229995,801283,1230264
1129,Washington,AL,Alabama,mean,13.4,20.122796593,10.443202495,42.7,7.3,2,17581,305,898.130852341,733730,959976
1131,Wilcox,AL,Alabama,mean,17.4,21.204288723,1.5943396226,51.3,4.1,2,11670,291,470.115724265,813331,1035198
1133,Winston,AL,Alabama,mean,11.4,22.175714527,75.696686491,40.1,7.2,8,20785,280,1223.78561472,784788,1275171
4001,Apache,AZ,Arizona,mean,16.3,16.314401963,17.524726981,36.1,2.7,28,52967,1705,5724.808025536,-1195017,1485527
4003,Cochise,AZ,Arizona,mean,9.9,23.71201904,68.250336796,31,6.7,72,47680,2360,5851.39154064,-1247117,1074383
4005,Coconino,AZ,Arizona,mean,9.7,14.057027825,80.978077339,27.9,6.5,120,42297,4366,8998.856861974,-1447062,1527310
4007,Gila,AZ,Arizona,mean,10.3,29.88859654,88.224583271,32.3,6.5,22,22008,1013,2621.955157189,-1372140,1313776
4009,Graham,AZ,Arizona,mean,11.3,14.110115237,56.958970233,33.2,6.4,19,17284,648,2235.22016981,-1292824,1206576
4011,Greenlee,AZ,Arizona,mean,10.4,14.45129732,70.971452473,32.6,7.2,5,3929,174,433.8589294645,-1211915,1195013
4012,La Paz,AZ,Arizona,mean,11.6,40.815455875,42.719091623,35.8,4.6,6,11541,441,1220.8873285435,-1675944,1345663
4013,Maricopa,AZ,Arizona,mean,9.6,15.773671059,92.736453777,30.6,8,3168,90229,103031,253168.159009745,-1469463,1299008
4015,Mohave,AZ,Arizona,mean,10.3,31.737041324,56.876122419,35.7,5.6,115,45970,4833,10356.234786256,-1606373,1572670
4017,Navajo,AZ,Arizona,mean,12.6,19.324622967,59.910792095,34.4,4.3,64,58171,2572,7373.693356768,-1272358,1454318
4019,Pima,AZ,Arizona,mean,9.1,20.668707166,87.286869401,29.3,7.3,926,73750,23808,49923.596347138,-1448519,1125887
4021,Pinal,AZ,Arizona,mean,10.3,21.010016527,63.979551526,37,7.1,71,82311,9072,22902.4735569785,-1407315,1218607
4023,Santa Cruz,AZ,Arizona,mean,13.2,19.161288975,65.086324446,34.8,6.1,21,12748,1644,3557.089911332,-1414187,1054518
4025,Yavapai,AZ,Arizona,mean,7.6,33.673886391,85.012425437,27.8,6.9,139,70057,4337,10800.8887612485,-1485694,1427184
4027,Yuma,AZ,Arizona,mean,13,19.59949756,80.761816942,40.5,6.5,95,20416,12102,14188.7056353335,-1698166,1250362
5001,Arkansas,AR,Arkansas,mean,11.9,20.224853486,76.191031547,38.2,5.4,9,6601,316,554.0992770366,422842,1256802
5003,Ashley,AR,Arkansas,mean,12.8,21.211309843,44.003777148,39.6,6.5,8,11294,500,769.696085095,391988,1126774
5005,Baxter,AR,Arkansas,mean,9.6,30.602220957,61.073341821,33.4,7.1,35,27333,606,1357.2120510051,326831,1484045
5007,Benton,AR,Arkansas,mean,9,13.581575256,71.863624694,29.5,8,172,55689,3998,12623.0075999,144549,1483913
5009,Boone,AR,Arkansas,mean,10,20.816812054,42.319321435,37.4,6.8,29,22953,469,1515.1705245855,261692,1491499
5011,Bradley,AR,Arkansas,mean,12.6,19.033435819,49.103840683,42.8,6.8,6,5707,191,532.889563107,356449,1164410
5013,Calhoun,AR,Arkansas,mean,11.5,21.704281797,7.2800168812,37.3,5.7,1,5368,80,197.1378110785,319775,1172925
5015,Carroll,AR,Arkansas,mean,10.6,23.907156673,53.970276008,35.2,7.3,18,19990,429,1525.6966824645,215684,1493134
5017,Chicot,AR,Arkansas,mean,15.9,22.00818445,56.220611285,47.5,5,7,6405,264,282.13936867185,438076,1146616
5019,Clark,AR,Arkansas,mean,12.1,16.729984522,45.09931922,39.3,6.3,12,12504,415,759.9693937998,255433,1237064
5021,Clay,AR,Arkansas,mean,11.1,21.393728223,60.747663551,39.1,6.3,1,9466,213,537.3365122616,494965,1508086
5023,Cleburne,AR,Arkansas,mean,10,27.123725765,35.729027559,36.7,6.9,15,19613,411,773.32338224545,364758,1400362
5025,Cleveland,AR,Arkansas,mean,11.4,21.320202289,1.3509933775,37.3,7.1,0,8689,123,271.32458697765,348132,1219524
5027,Columbia,AR,Arkansas,mean,13.3,17.34738885,52.041577124,40.3,6.4,16,14114,469,823.37550631405,255631,1124020
5029,Conway,AR,Arkansas,mean,11.7,19.934844057,45.65773594,38.6,6.2,14,15001,342,682.6163623127,293837,1362845
5031,Craighead,AR,Arkansas,mean,10.2,13.981714164,60.19634814,40.3,6.6,130,31024,1821,4252.10808245185,488106,1450326
5033,Crawford,AR,Arkansas,mean,10.8,17.620656531,64.563550796,35.9,6.3,23,32189,921,3114.505950886,154475,1399996
5035,Crittenden,AR,Arkansas,mean,13.8,14.607048922,77.432884164,46.6,6.4,16,10632,1108,1727.0084541695,523330,1370901
5037,Cross,AR,Arkansas,mean,12.3,18.763863078,72.120240005,40.5,6.1,7,10148,306,588.6085858586,462490,1380371
5039,Dallas,AR,Arkansas,mean,12.6,25.285351934,0,40.2,5.3,1,4272,113,238.031310732,308615,1225288
5041,Desha,AR,Arkansas,mean,15.5,19.828674482,40.886353664,45.1,5.6,5,4087,293,453.279283526,444703,1210144
5043,Drew,AR,Arkansas,mean,12.3,18.182349503,66.219020173,42.8,6.7,14,8997,377,633.0520388209,389028,1187863
5045,Faulkner,AR,Arkansas,mean,10.1,13.22398606,64.106301317,36.2,6.7,72,43891,2123,4501.23382541235,332077,1353393
5047,Franklin,AR,Arkansas,mean,11.3,19.961567577,66.678364625,36.2,6.8,6,14972,268,716.0486402045,185594,1391252
5049,Fulton,AR,Arkansas,mean,11.7,25.854261013,44.298136646,38,6.6,6,11378,178,408.0301448299,370320,1505327
5051,Garland,AR,Arkansas,mean,10.5,24.394498156,72.493511679,30.9,6.2,86,35436,2028,3767.1246424195,262655,1296506
5053,Grant,AR,Arkansas,mean,9.4,18.302929795,35.104131863,36.7,6.7,2,13395,260,579.3502709574,328865,1263432
5055,Greene,AR,Arkansas,mean,10.7,16.173327288,67.124365926,39.7,6.7,21,17470,663,1539.59707028125,491387,1472971
5057,Hempstead,AR,Arkansas,mean,12.8,19.051487763,60.483428856,41.7,6,6,12609,320,944.6761167865,203864,1180203
5059,Hot Spring,AR,Arkansas,mean,10.6,19.678411971,20.786924939,36.3,6.5,8,21719,533,1100.432760364,274565,1261032
5061,Howard,AR,Arkansas,mean,12.4,18.042211372,8.5803676183,41.7,6.1,5,9310,177,586.6,184362,1229072
5063,Independence,AR,Arkansas,mean,10.4,18.296529968,48.708418999,36.6,7.1,25,25134,634,1489.9609140108,394736,1427663
5065,Izard,AR,Arkansas,mean,11,24.843648911,55.439345953,37.6,7.1,4,13696,236,387.69813902575,364746,1454287
5067,Jackson,AR,Arkansas,mean,12.4,18.345131164,46.051924799,39,5.4,7,11709,294,494.3664230975,424041,1410296
5069,Jefferson,AR,Arkansas,mean,14.9,18.677214133,63.13559322,44.2,6.4,46,23940,1715,1817.42040295735,375653,1256168
5071,Johnson,AR,Arkansas,mean,11.7,17.198684465,43.162841275,40.2,6.1,15,18227,462,1327.26482026,232194,1395816
5073,Lafayette,AR,Arkansas,mean,14.1,25.150089242,11.097019658,41.3,5.9,2,7645,135,283.368048213,222331,1132565
5075,Lawrence,AR,Arkansas,mean,10.6,19.040019642,35.11346818,38.3,5.7,6,11069,286,565.9737471118,439586,1458969
5077,Lee,AR,Arkansas,mean,15.8,20.257570484,52.220930233,45.1,4.8,1,6620,143,197.95918367345,490396,1319635
5079,Lincoln,AR,Arkansas,mean,12.8,15.670783156,37.925971718,39.7,6,1,14134,171,315.2428376535,399674,1230192
5081,Little River,AR,Arkansas,mean,11.1,20.997990623,51.396973225,36.8,7.8,2,9025,235,407.3000426803,153604,1188451
5083,Logan,AR,Arkansas,mean,10.9,20.287532406,64.488192703,40.6,6.4,5,15875,350,744.9697289793,209090,1361014
5085,Lonoke,AR,Arkansas,mean,10.2,14.361232301,43.64115382,36.6,7.5,12,30632,1107,2516.97613999555,369900,1319368
5087,Madison,AR,Arkansas,mean,10.8,19.516509434,48.744022759,35.2,6.6,6,15717,231,777.860917097,202911,1445978
5089,Marion,AR,Arkansas,mean,10.5,29.108257745,30.85106383,36.5,6.8,4,16653,260,570.3316814764,293947,1489659
5091,Miller,AR,Arkansas,mean,12.3,17.282937466,71.828638498,39.8,6.3,34,17390,913,1562.08722351485,191212,1149795
5093,Mississippi,AR,Arkansas,mean,13,15.448425405,65.031338331,42.5,6.2,17,16857,1169,1604.46107440835,543751,1437747
5095,Monroe,AR,Arkansas,mean,13.9,24.210683825,61.229592587,42.1,5.6,3,5621,139,216.9642857143,437159,1304326
5097,Montgomery,AR,Arkansas,mean,10.7,26.605504587,97.241867044,36.9,6.1,2,9487,139,429.1108590205,218695,1279745
5099,Nevada,AR,Arkansas,mean,12.4,21.570782949,47.930204573,41.7,4.6,2,6224,136,252.5584680712,244935,1183898
5101,Newton,AR,Arkansas,mean,9.7,27.373681288,59.501730104,33.9,6.8,0,8330,97,210.8170754195,245566,1442208
5103,Ouachita,AR,Arkansas,mean,13.6,21.182641442,36.494481236,40.4,5.5,13,14719,376,743.73709390935,297020,1173989
5105,Perry,AR,Arkansas,mean,10.4,20.814933762,47.789200519,37.1,7,2,10445,168,385.72587447285,280095,1328747
5107,Phillips,AR,Arkansas,mean,15.9,20.2250723,63.351038146,47.9,4.4,9,10436,453,530.0895661639,469790,1269350
5109,Pike,AR,Arkansas,mean,10.8,20.663620107,35.296431029,36.2,6.4,4,11291,184,489.4042618145,212920,1237819
5111,Poinsett,AR,Arkansas,mean,11.6,18.234774934,42.891356412,41.4,6.1,3,17488,377,802.8276787166,482551,1406889
5113,Polk,AR,Arkansas,mean,11.2,22.988683925,58.71702825,36.1,5.3,16,15163,343,950.389603357,149908,1275070
5115,Pope,AR,Arkansas,mean,10.7,16.256721378,69.675454789,41.7,6.9,42,33652,1080,2715.88631215,262032,1383276
5117,Prairie,AR,Arkansas,mean,10.3,24.204056546,32.419705385,36.7,7.8,1,8715,130,297.45846753685,402051,1321424
5119,Pulaski,AR,Arkansas,mean,10.6,16.512954319,84.602568118,36,6.5,468,46989,9090,15952.0400275595,331789,1308584
5121,Randolph,AR,Arkansas,mean,11.3,19.008746356,39.152441979,35.9,6.3,11,12115,288,751.2051353615,438546,1505779
5123,St. Francis,AR,Arkansas,mean,15.7,16.860899776,31.775660459,47.1,4.9,11,14568,474,778.9305644031,467154,1344612
5125,Saline,AR,Arkansas,mean,9.5,18.303482309,57.223536657,38.6,7.7,59,38734,1818,3743.70388710075,307350,1296177
5127,Scott,AR,Arkansas,mean,11.3,20.942781511,46.034973566,37.4,5.4,2,7903,140,432.9278821735,159756,1319416
5129,Searcy,AR,Arkansas,mean,11.9,25.850253807,20.005109862,39,5.2,2,8195,124,281.3799858807,299431,1441583
5131,Sebastian,AR,Arkansas,mean,11.3,16.749221184,60.63036487,36.3,6.9,169,26170,2019,6693.4161117615,148361,1361695
5133,Sevier,AR,Arkansas,mean,12.6,15.04783628,36.732116927,40.5,6.4,8,10849,236,1192.588423038,156326,1217871
5135,Sharp,AR,Arkansas,mean,11.2,25.093632959,48.896994963,40,5.3,4,13821,277,648.629942602,402920,1485390
5137,Stone,AR,Arkansas,mean,11.5,28.250941431,50.004045635,36.8,5.8,6,12394,228,506.6457065585,343073,1442977
5139,Union,AR,Arkansas,mean,11.9,18.857589984,59.942643519,43.4,6.4,25,22695,911,1422.71174613725,316196,1122483
5141,Van Buren,AR,Arkansas,mean,11.3,26.742704218,42.282856419,37.9,6.5,5,17295,282,580.86404323595,307394,1404631
5143,Washington,AR,Arkansas,mean,10.8,12.315592045,82.440792123,35.8,7.5,190,51771,3676,13503.5282372745,141459,1438162
5145,White,AR,Arkansas,mean,10.5,16.583988498,56.966754315,38.1,6.8,52,41866,1351,3506.6160669885,388613,1369429
5147,Woodruff,AR,Arkansas,mean,12.8,24.296926095,45.525602169,39.7,7.1,2,7260,139,214.6224961479,425693,1360637
5149,Yell,AR,Arkansas,mean,12,18.114611759,45.79282436,38.3,7.2,11,17554,311,1153.7625729615,242962,1340594
6001,Alameda,CA,California,mean,9.1,14.925122349,99.441258761,24.3,8.8,1881,5869,49105,35427.9615075679,-2250759,1948200
6003,Alpine,CA,California,mean,8.8,24.777327935,77.740863787,29.5,6.7,0,1175,42,51.489260143,-2029133,1993244
6005,Amador,CA,California,mean,8.5,27.424319542,61.624746751,30,8.6,23,23016,997,802.72067354175,-2098921,1994564
6007,Butte,CA,California,mean,9.4,18.238290232,85.437457473,30.5,7.3,131,41584,6311,6141.59961998145,-2145355,2151525
6009,Calaveras,CA,California,mean,8.7,28.534648753,75.839000265,29.7,7.9,20,34370,1225,1186.1231884058,-2103827,1962641
6011,Colusa,CA,California,mean,11.4,15.399005338,76.784651312,34.4,6.9,6,6795,1342,1170.005815254,-2215504,2113732
6013,Contra Costa,CA,California,mean,8.8,16.697677743,98.241313564,28.1,8.8,1190,8316,34478,26125.6821815583,-2237460,1970130
6015,Del Norte,CA,California,mean,10.6,18.943060498,79.119057059,32.9,6.4,18,9634,708,702.0512735777,-2279133,2426477
6017,El Dorado,CA,California,mean,7.7,22.604685826,87.699871852,28.2,8.4,153,62827,5232,4037.1883583323,-2083321,2030974
6019,Fresno,CA,California,mean,12.2,12.607280523,84.346069118,34.6,7.3,690,100537,40741,37626.9188048643,-2069880,1796117
6021,Glenn,CA,California,mean,10.8,16.684603367,78.853269703,33.6,7.4,4,11494,876,1414.0981419725,-2214655,2157410
6023,Humboldt,CA,California,mean,9.6,19.151199472,88.27521013,31.1,7.3,80,40062,3661,4100.84611773985,-2320671,2315876
6025,Imperial,CA,California,mean,14.4,13.362728036,80.22003094,36.2,6.2,46,30399,11981,6417.9389919782,-1738177,1281316
6027,Inyo,CA,California,mean,8.9,24.074855034,85.896087505,29.7,7.8,15,8611,484,698.6124216735,-1880958,1709603
6029,Kern,CA,California,mean,12.5,11.402536633,85.906833767,35,7.1,446,85693,38555,36283.2899554653,-2065853,1623443
6031,Kings,CA,California,mean,12.3,10.702345496,68.202982569,35.1,7.6,58,16601,5386,5307.4461026385,-2099193,1730313
6033,Lake,CA,California,mean,10.1,23.06954018,68.300984405,32.1,7.6,29,21408,2160,1865.3485393537,-2260270,2118274
6035,Lassen,CA,California,mean,10.1,15.93835761,45.4842652,31.8,7.6,8,24610,544,410.73468271335,-2024580,2183364
6037,Los Angeles,CA,California,mean,10.3,14.61428933,97.930209569,28.8,8.1,7402,59424,445205,428359.59323973,-2051503,1400073
6039,Madera,CA,California,mean,12.3,14.265102566,74.348340853,35.9,7.7,69,49672,5476,6408.0810201715,-2057945,1839958
6041,Marin,CA,California,mean,7.2,23.44719184,97.505346503,23.3,9.2,377,16457,5748,4114.1132044443,-2287146,1992967
6043,Mariposa,CA,California,mean,9,28.79220855,44.755122293,31,7.5,6,18251,558,489.5320571381,-2071205,1889337
6045,Mendocino,CA,California,mean,9.7,23.655878648,65.933778016,31.4,7.4,76,39731,2298,3612.0897396155,-2323802,2157632
6047,Merced,CA,California,mean,12.9,11.512911007,81.069480302,38,7.2,123,36510,11935,12496.768318811,-2145095,1855331
6049,Modoc,CA,California,mean,9.7,28.437824732,54.620689655,32.4,6.3,5,6776,225,265.8280370738,-2035032,2374135
6051,Mono,CA,California,mean,8.6,17.66437684,69.700644183,29.6,6.9,10,6509,569,656.497382199,-1985228,1927408
6053,Monterey,CA,California,mean,11.1,14.4828217,90.215586457,31.7,8.2,284,40742,17548,20167.236433888,-2245780,1786962
6055,Napa,CA,California,mean,8.6,20.211149207,95.173852875,26.9,8.8,134,18290,4132,4587.8030285961,-2237711,2038896
6057,Nevada,CA,California,mean,7.6,28.476040469,82.544184818,28.2,7.8,74,41614,2630,2180.07772782535,-2094046,2088673
6059,Orange,CA,California,mean,9.1,15.744415146,99.077656057,23,8.8,3182,4315,92743,101761.273972229,-1991757,1412985
6061,Placer,CA,California,mean,7.5,20.022313849,93.092091447,28,8.7,500,48039,9388,7301.7450260041,-2084935,2059902
6063,Plumas,CA,California,mean,8.3,30.273663068,92.880242547,30.2,8,17,14810,700,408.6187509614,-2079185,2171738
6065,Riverside,CA,California,mean,10.6,14.840739588,90.973560749,34.7,8.1,1112,101212,82839,98544.2399804031,-1804356,1380852
6067,Sacramento,CA,California,mean,9.9,14.734338586,98.63298119,30.7,8,1417,29257,49679,42320.1913417406,-2174497,2013864
6069,San Benito,CA,California,mean,10.4,13.224950133,85.364979987,31.8,8.8,19,13267,2318,2284.6292460346,-2202869,1804727
6071,San Bernardino,CA,California,mean,11.7,12.098135972,86.995875606,39.1,7.8,1304,96357,73515,83547.4525965263,-1770215,1486919
6073,San Diego,CA,California,mean,9,14.884075776,97.657242362,28.4,8.5,2746,102054,99863,114396.621300269,-1946297,1319357
6075,San Francisco,CA,California,mean,8.8,17.518378903,100,19,8.5,1383,0,27519,17904.4357755037,-2284237,1966512
6077,San Joaquin,CA,California,mean,11,13.076348159,91.533597781,29.6,7.9,458,58065,28972,25396.3643339892,-2182122,1951137
6079,San Luis Obispo,CA,California,mean,8.4,21.407760304,87.126448177,27.9,8.5,237,44750,7082,7116.41098728255,-2191268,1656928
6081,San Mateo,CA,California,mean,8.3,17.47026649,99.485376261,21.1,9.3,812,13586,19721,14143.1772836381,-2277600,1926536
6083,Santa Barbara,CA,California,mean,9.8,15.991264908,96.057149359,30.1,8.6,338,21269,12565,20899.370230359,-2177537,1515637
6085,Santa Clara,CA,California,mean,8.6,14.474242485,99.477652525,20.5,9.2,2038,19307,47605,42071.4939531906,-2227637,1884329
6087,Santa Cruz,CA,California,mean,8.8,18.273510784,96.838230679,27.5,8.2,281,31589,9185,8436.48074889535,-2259553,1867652
6089,Shasta,CA,California,mean,9,21.037229808,79.384590047,31.1,7.3,136,51902,4975,4847.47581495805,-2179368,2263420
6091,Sierra,CA,California,mean,8.5,30.429485227,7.0457354759,30.4,6,1,3231,78,81.89415876185,-2061909,2113980
6093,Siskiyou,CA,California,mean,9.6,26.909651389,72.327343679,31.6,6.6,35,29556,1339,1186.3038408338,-2178248,2391337
6095,Solano,CA,California,mean,10,16.894243286,96.809418489,30.1,8.5,362,15370,14860,11313.5920577815,-2221633,2000125
6097,Sonoma,CA,California,mean,8.2,21.119725368,94.389634724,25.2,8.7,495,59776,13313,13682.0664559933,-2300466,2048159
6099,Stanislaus,CA,California,mean,10.8,13.446136431,94.383028444,33.1,8.1,360,41057,20042,17487.7234699571,-2165403,1903945
6101,Sutter,CA,California,mean,10.5,16.04635434,84.052472574,29.9,7.4,74,14019,4069,3660.52178645195,-2173069,2070613
6103,Tehama,CA,California,mean,10.4,20.17771535,59.526956205,34.3,6.9,31,32676,1826,2056.07150935535,-2178504,2218810
6105,Trinity,CA,California,mean,10.1,29.103362391,89.901936445,32.8,6.8,4,13786,282,330.87486669035,-2228666,2301842
6107,Tulare,CA,California,mean,13.1,11.648995711,73.83818379,36,7.3,206,68449,21435,19017.7295902249,-2008474,1715481
6109,Tuolumne,CA,California,mean,8.6,27.235262498,75.253505933,28.6,7.5,33,27110,1456,1168.71446301505,-2053027,1920910
